,line,day_of_week,hour,day,month,count
10594,D,5,11,21,11,4
10595,D,0,14,9,11,6
10596,G,1,21,10,11,1
10597,Z,4,13,20,11,2
10598,5,0,23,23,11,1
10599,7,4,13,13,11,6
10600,A,3,23,26,11,4
10601,1,1,21,24,11,14
10602,A,0,20,30,11,9
10603,3,3,23,26,11,4
10604,6,3,21,5,11,15
10605,C,1,6,3,11,14
10606,6,6,13,8,11,11
10607,D,4,4,13,11,1
10608,Z,6,15,8,11,1
10609,R,1,1,17,11,8
10610,L,3,1,19,11,7
10611,Q,6,23,29,11,3
10612,2,4,15,20,11,4
10613,6,6,23,22,11,5
10614,D,5,2,14,11,7
10615,6,4,23,6,11,11
10616,C,6,19,1,11,10
10617,Q,2,10,18,11,6
10618,C,0,14,2,11,11
10619,E,6,17,15,11,14
10620,7,2,1,11,11,1
10621,R,5,15,7,11,23
10622,C,3,19,26,11,7
10623,3,5,1,14,11,5
10624,N,6,22,15,11,9
10625,5,6,22,22,11,3
10626,Q,0,14,30,11,19
10627,F,3,18,26,11,11
10628,A,0,5,9,11,2
10629,L,1,2,24,11,3
10630,M,1,14,3,11,11
10631,L,1,12,10,11,1
10632,R,4,14,27,11,22
10633,4,2,11,18,11,2
10634,Q,4,16,6,11,5
10635,6,0,9,16,11,7
10636,E,4,7,27,11,8
10637,E,6,11,15,11,16
10638,R,1,12,10,11,7
10639,R,5,1,21,11,10
10640,N,4,21,6,11,14
10641,3,6,12,22,11,4
10642,N,4,12,27,11,23
10643,D,5,4,28,11,3
10644,D,4,20,13,11,4
10645,Q,3,7,12,11,6
10646,GS,2,7,11,11,1
10647,Q,3,0,19,11,9
10648,R,6,22,29,11,14
10649,M,5,21,28,11,12
10650,7,5,5,14,11,2
10651,J,0,17,2,11,1
10652,M,5,5,14,11,4
10653,M,2,8,18,11,6
10654,6,0,20,9,11,10
10655,2,4,7,20,11,5
10656,7,6,19,1,11,1
10657,A,0,21,9,11,15
10658,7,5,8,21,11,1
10659,GS,6,18,8,11,1
10660,7,0,5,9,11,1
10661,A,1,9,10,11,5
10662,3,1,14,3,11,2
10663,D,0,21,2,11,9
10664,6,1,8,24,11,9
10665,7,5,21,14,11,2
10666,2,2,21,18,11,2
10667,A,0,15,23,11,6
10668,C,2,21,11,11,20
10669,L,6,14,15,11,2
10670,E,1,10,3,11,4
10671,A,2,16,4,11,5
10672,Q,3,23,12,11,8
10673,4,6,14,15,11,3
10674,5,0,9,23,11,1
10675,R,6,6,29,11,2
10676,6,5,23,21,11,16
10677,6,0,3,30,11,2
10678,6,3,8,26,11,6
10679,R,5,14,28,11,31
10680,R,4,18,13,11,11
10681,E,4,5,27,11,2
10682,1,0,6,2,11,9
10683,C,2,19,25,11,20
10684,1,5,11,28,11,11
10685,E,0,20,2,11,15
10686,D,0,8,23,11,6
10687,L,1,0,24,11,1
10688,3,5,6,7,11,4
