,line,day_of_week,hour,day,month,count
5055,R,1,20,28,6,14
5056,C,3,22,2,6,14
5057,5,2,9,29,6,1
5058,M,2,6,1,6,6
5059,E,1,4,14,6,3
5060,Q,2,20,1,6,2
5061,E,2,14,15,6,12
5062,D,5,18,18,6,7
5063,Q,4,7,24,6,6
5064,3,1,1,7,6,3
5065,7,1,19,28,6,2
5066,M,2,10,1,6,9
5067,A,3,7,16,6,9
5068,R,5,23,4,6,12
5069,R,3,14,9,6,20
5070,1,6,13,19,6,21
5071,N,3,20,23,6,12
5072,N,1,15,14,6,9
5073,E,6,4,12,6,6
5074,F,4,6,24,6,10
5075,F,2,8,22,6,10
5076,M,3,18,2,6,5
5077,2,1,18,21,6,8
5078,Q,4,22,3,6,5
5079,M,4,11,24,6,10
5080,Q,4,19,24,6,14
5081,E,2,15,1,6,14
5082,M,3,18,9,6,10
5083,3,4,2,24,6,3
5084,R,5,15,18,6,18
5085,C,3,17,30,6,19
5086,M,3,16,2,6,8
5087,3,5,23,4,6,5
5088,Z,4,20,3,6,1
5089,A,5,20,25,6,8
5090,1,1,18,28,6,18
5091,5,4,11,3,6,2
5092,F,4,10,24,6,13
5093,6,3,22,16,6,8
5094,R,5,13,18,6,16
5095,D,6,9,5,6,2
5096,L,6,21,12,6,1
5097,3,6,19,19,6,4
5098,1,3,15,2,6,18
5099,6,1,9,14,6,12
5100,1,5,19,4,6,13
5101,L,1,21,21,6,1
5102,D,2,22,8,6,3
5103,N,2,9,8,6,11
5104,M,2,0,1,6,5
5105,1,6,7,19,6,13
5106,M,5,18,11,6,9
5107,C,1,23,28,6,25
5108,2,6,0,5,6,7
5109,6,6,6,19,6,1
5110,7,6,8,26,6,1
5111,A,6,4,5,6,6
5112,R,5,5,11,6,1
5113,2,1,15,7,6,5
5114,6,4,8,3,6,15
5115,4,5,11,4,6,5
5116,6,1,10,14,6,7
5117,M,5,20,11,6,10
5118,M,1,16,28,6,4
5119,6,3,4,23,6,2
5120,Q,3,7,16,6,4
5121,5,2,18,29,6,2
5122,2,6,14,5,6,2
5123,6,4,13,3,6,9
5124,2,0,7,6,6,2
5125,F,1,14,28,6,13
