,line,day_of_week,hour,day,month,count
7974,C,6,13,6,9,14
7975,6,0,10,28,9,9
7976,D,4,2,4,9,3
7977,L,4,16,4,9,2
7978,C,0,22,7,9,11
7979,7,3,2,24,9,1
7980,1,0,2,7,9,6
7981,F,3,8,17,9,10
7982,N,2,21,9,9,8
7983,4,0,13,21,9,1
7984,Z,5,10,5,9,1
7985,GS,4,2,11,9,1
7986,A,0,7,28,9,4
7987,4,2,22,16,9,2
7988,3,0,7,14,9,2
7989,7,1,16,8,9,1
7990,C,3,22,10,9,10
7991,Z,6,15,13,9,2
7992,J,1,0,15,9,1
7993,M,0,8,7,9,3
7994,C,1,15,15,9,15
7995,Q,2,13,16,9,7
7996,7,3,23,3,9,1
7997,M,1,1,29,9,10
7998,1,6,13,6,9,13
7999,4,0,15,21,9,1
8000,R,0,4,28,9,2
8001,3,6,1,20,9,5
8002,D,2,11,23,9,8
8003,1,0,13,28,9,9
8004,4,1,9,22,9,3
8005,2,0,22,14,9,5
8006,R,4,2,18,9,3
8007,E,2,12,9,9,15
8008,3,4,17,18,9,1
8009,G,2,0,23,9,1
8010,R,2,17,23,9,19
8011,D,5,15,12,9,3
8012,2,2,18,16,9,3
8013,2,3,15,24,9,2
8014,4,5,3,12,9,1
8015,A,1,21,29,9,11
8016,M,1,19,29,9,12
8017,L,5,20,5,9,3
8018,6,4,21,11,9,12
8019,F,5,12,5,9,9
8020,5,5,8,12,9,2
8021,M,4,15,18,9,7
8022,M,3,23,3,9,4
8023,M,2,2,23,9,3
8024,L,4,15,11,9,1
8025,C,3,6,10,9,6
8026,4,0,8,14,9,5
8027,6,5,12,19,9,31
8028,D,2,22,30,9,4
8029,M,3,7,3,9,10
8030,6,2,14,16,9,19
8031,7,4,10,11,9,3
8032,6,3,11,24,9,10
8033,R,6,12,6,9,22
8034,5,0,14,7,9,1
8035,Q,4,5,18,9,1
8036,1,4,0,11,9,12
8037,3,4,2,25,9,2
8038,6,2,22,30,9,8
8039,F,0,0,28,9,2
8040,C,5,21,5,9,15
8041,L,4,17,11,9,1
8042,L,1,12,1,9,2
8043,N,4,19,25,9,16
8044,Q,2,2,23,9,1
8045,Z,5,18,19,9,3
8046,L,2,14,2,9,3
8047,1,4,3,18,9,3
8048,D,4,1,11,9,1
8049,7,6,9,20,9,1
8050,D,6,23,13,9,1
8051,L,5,4,5,9,5
8052,4,1,17,22,9,2
8053,M,2,13,16,9,12
8054,G,5,23,5,9,1
8055,6,3,16,3,9,5
8056,2,6,19,13,9,5
8057,R,0,8,14,9,6
8058,Q,4,16,11,9,6
8059,R,6,7,13,9,5
8060,3,1,7,29,9,3
8061,5,5,8,26,9,3
8062,5,1,10,8,9,2
8063,2,2,16,16,9,4
