,line,day_of_week,hour,day,month,count
2059,L,2,12,16,12,3
2060,F,2,10,2,12,11
2061,F,6,9,13,12,7
2062,N,4,13,25,12,12
2063,4,1,0,15,12,1
2064,Z,3,16,31,12,2
2065,6,1,0,1,12,6
2066,E,4,7,4,12,11
2067,M,2,13,16,12,19
2068,GS,4,17,4,12,1
2069,5,6,16,13,12,2
2070,R,2,2,16,12,5
2071,R,4,5,11,12,4
2072,2,6,23,13,12,2
2073,2,1,10,15,12,3
2074,A,5,19,19,12,10
2075,R,1,2,1,12,2
2076,4,4,7,25,12,1
2077,6,4,13,11,12,16
2078,D,1,6,15,12,4
2079,Q,0,21,14,12,9
2080,6,2,12,30,12,16
2081,3,1,15,1,12,2
2082,2,0,16,28,12,2
2083,A,6,7,20,12,2
2084,5,6,12,13,12,3
2085,M,4,3,18,12,2
2086,2,2,19,23,12,4
2087,Q,2,20,23,12,10
2088,M,0,1,14,12,2
2089,2,6,15,27,12,2
2090,J,6,15,27,12,1
2091,GS,2,0,23,12,1
2092,Q,0,7,28,12,2
2093,4,3,0,17,12,2
2094,4,0,4,14,12,1
2095,7,3,15,17,12,1
2096,M,1,22,8,12,8
2097,4,1,16,15,12,3
2098,R,1,19,8,12,6
2099,5,0,17,28,12,2
2100,D,5,10,19,12,8
2101,A,1,8,22,12,4
2102,E,4,23,4,12,14
2103,6,2,13,23,12,19
2104,Z,6,2,6,12,1
2105,R,6,2,20,12,8
2106,7,3,23,17,12,1
2107,F,2,5,9,12,2
2108,4,0,20,28,12,2
2109,L,2,20,16,12,2
2110,2,2,15,9,12,2
2111,D,5,18,5,12,17
2112,N,4,15,25,12,9
2113,2,1,12,15,12,2
2114,J,3,21,10,12,1
2115,7,0,15,28,12,1
2116,2,4,23,11,12,5
2117,1,1,2,22,12,7
2118,M,5,10,12,12,21
2119,N,2,17,9,12,7
2120,Q,0,20,7,12,8
2121,4,0,20,14,12,3
2122,1,5,1,19,12,15
2123,F,3,12,3,12,20
2124,F,0,21,21,12,19
2125,5,6,19,20,12,1
2126,A,1,14,8,12,10
2127,Q,2,12,9,12,16
2128,1,4,23,18,12,13
2129,Q,2,21,30,12,5
2130,2,1,22,15,12,8
2131,M,2,9,2,12,5
2132,GS,1,6,22,12,1
2133,3,5,7,5,12,2
2134,N,0,23,21,12,11
2135,E,0,16,7,12,14
2136,F,2,21,9,12,7
2137,L,6,16,20,12,2
2138,F,0,12,14,12,16
2139,3,3,11,31,12,1
2140,Z,4,4,4,12,1
2141,6,2,7,23,12,7
2142,A,0,9,28,12,5
2143,D,0,19,21,12,11
2144,4,3,12,17,12,5
2145,R,5,0,19,12,9
2146,A,2,15,2,12,4
2147,C,4,21,18,12,20
2148,5,0,16,21,12,4
2149,E,1,15,29,12,12
2150,A,5,6,26,12,1
2151,Q,1,11,15,12,8
2152,7,6,7,6,12,1
2153,Q,0,4,7,12,1
2154,L,3,3,10,12,2
2155,6,0,8,28,12,4
2156,M,0,14,7,12,11
2157,7,1,7,1,12,2
2158,A,2,23,16,12,14
2159,4,6,21,13,12,1
2160,J,2,14,16,12,1
2161,4,4,23,11,12,6
2162,3,5,23,5,12,2
2163,R,1,8,1,12,5
2164,5,5,7,19,12,2
2165,2,0,21,7,12,3
2166,2,3,10,17,12,2
2167,5,1,11,15,12,4
2168,N,3,7,10,12,6
2169,M,5,1,19,12,13
2170,6,2,8,30,12,5
2171,E,2,16,23,12,7
2172,1,6,22,27,12,7
2173,R,6,7,27,12,3
2174,6,0,12,28,12,10
2175,D,1,12,15,12,15
2176,1,4,16,25,12,6
2177,7,1,11,1,12,1
2178,R,3,8,31,12,5
2179,R,2,22,16,12,14
2180,G,6,16,27,12,1
2181,D,2,4,30,12,1
2182,M,2,5,2,12,5
2183,R,5,8,5,12,4
2184,R,0,9,7,12,7
2185,F,4,12,18,12,16
2186,4,2,15,9,12,1
2187,6,5,0,5,12,23
2188,1,0,22,21,12,14
