,line,day_of_week,hour,day,month,count
7362,Q,3,8,23,7,4
7363,A,1,1,28,7,4
7364,Z,1,22,28,7,1
7365,5,2,1,1,7,1
7366,2,2,6,15,7,6
7367,4,5,19,25,7,2
7368,5,2,17,29,7,4
7369,R,4,13,24,7,10
7370,1,2,4,22,7,4
7371,D,0,22,27,7,7
7372,M,5,13,18,7,13
7373,5,4,4,10,7,1
7374,J,5,19,11,7,2
7375,N,4,16,3,7,12
7376,Q,6,16,26,7,9
7377,6,4,6,31,7,7
7378,7,2,18,22,7,4
7379,6,2,0,15,7,4
7380,M,5,22,11,7,23
7381,7,6,3,19,7,1
7382,6,4,22,3,7,6
7383,S,6,21,5,7,1
7384,2,5,19,11,7,7
7385,L,0,10,27,7,2
7386,L,0,9,20,7,2
7387,L,6,1,12,7,9
7388,3,2,11,15,7,7
7389,F,0,14,27,7,15
7390,2,6,2,5,7,1
7391,D,4,22,17,7,7
7392,7,0,1,27,7,2
7393,D,2,18,15,7,7
7394,A,4,0,24,7,9
7395,A,6,6,26,7,3
7396,A,6,16,26,7,13
7397,A,3,18,9,7,16
7398,D,1,17,7,7,2
7399,E,3,7,16,7,12
7400,D,0,4,27,7,1
7401,6,4,2,31,7,3
7402,D,6,16,19,7,4
7403,E,4,20,10,7,13
7404,C,5,14,11,7,32
7405,6,3,20,2,7,8
7406,1,0,2,20,7,4
7407,Q,5,13,18,7,17
7408,D,3,14,16,7,9
7409,Z,0,2,13,7,1
7410,1,2,22,22,7,11
7411,6,1,11,21,7,5
7412,2,3,23,9,7,5
7413,L,4,0,3,7,3
7414,3,2,21,1,7,3
7415,5,2,21,1,7,1
7416,Q,3,17,16,7,7
7417,Q,1,0,21,7,3
7418,M,1,14,7,7,14
7419,3,3,15,30,7,1
7420,Q,4,3,31,7,1
7421,E,5,22,11,7,11
7422,L,5,22,4,7,3
7423,A,1,21,14,7,7
7424,4,1,12,14,7,9
7425,A,5,2,11,7,7
7426,E,0,23,27,7,4
7427,C,4,22,24,7,22
7428,A,5,16,25,7,11
7429,A,3,2,9,7,8
7430,1,1,8,7,7,9
7431,M,2,14,22,7,16
7432,L,4,4,3,7,4
7433,A,3,8,9,7,2
7434,2,3,0,16,7,4
7435,Q,3,21,16,7,8
7436,4,6,1,12,7,1
7437,6,6,10,19,7,47
7438,1,6,13,5,7,12
7439,N,5,0,18,7,4
7440,5,6,15,5,7,3
7441,C,3,14,9,7,19
7442,3,3,19,2,7,3
7443,Q,3,11,16,7,3
7444,2,3,7,9,7,4
7445,Q,4,21,3,7,8
7446,4,2,18,1,7,4
7447,M,3,23,2,7,6
7448,2,1,12,28,7,7
7449,1,6,9,19,7,13
7450,4,3,8,30,7,2
7451,5,3,17,16,7,1
7452,L,5,6,4,7,1
7453,N,5,20,4,7,14
7454,N,4,21,24,7,10
7455,C,3,15,2,7,17
7456,2,5,3,11,7,7
7457,D,1,14,14,7,5
7458,C,2,21,15,7,25
