,line,day_of_week,hour,day,month,count
3479,D,4,17,16,10,5
3480,N,3,15,15,10,9
3481,Q,2,20,14,10,7
3482,F,4,16,16,10,10
3483,E,2,2,14,10,4
3484,D,4,21,30,10,8
3485,2,4,6,16,10,5
3486,1,0,17,5,10,12
3487,J,3,14,22,10,1
3488,5,2,16,7,10,1
3489,C,6,20,4,10,18
3490,L,3,8,29,10,2
3491,6,4,2,30,10,5
3492,5,4,11,16,10,8
3493,1,4,8,2,10,5
3494,7,5,5,24,10,1
3495,F,4,14,2,10,9
3496,6,2,9,14,10,12
3497,D,3,3,22,10,2
3498,R,5,10,10,10,11
3499,L,1,1,20,10,1
3500,2,0,4,19,10,1
3501,2,4,13,23,10,2
3502,1,3,3,15,10,4
3503,Q,4,22,2,10,6
3504,N,0,17,26,10,9
3505,1,1,17,27,10,8
3506,J,6,9,11,10,1
3507,6,1,18,20,10,14
3508,4,2,22,14,10,1
3509,M,2,5,21,10,5
3510,D,6,6,18,10,2
3511,M,5,9,24,10,1
3512,D,4,23,2,10,3
3513,Q,4,14,2,10,8
3514,GS,0,23,26,10,1
3515,6,0,19,26,10,10
3516,M,6,18,11,10,14
3517,E,6,19,25,10,18
3518,Z,5,20,3,10,3
3519,Q,3,6,8,10,3
3520,N,4,20,16,10,17
3521,A,4,19,30,10,10
3522,3,1,13,27,10,3
3523,1,2,17,28,10,13
3524,Q,4,7,23,10,4
3525,6,3,3,22,10,1
3526,N,2,14,21,10,6
3527,2,1,17,6,10,1
3528,3,1,18,13,10,2
3529,6,2,7,28,10,7
3530,R,6,16,4,10,8
3531,1,4,14,30,10,24
3532,6,4,6,23,10,3
3533,7,0,9,12,10,1
3534,Z,5,18,17,10,3
3535,4,2,10,14,10,2
3536,R,5,4,31,10,10
3537,A,2,17,21,10,8
3538,M,6,19,4,10,17
3539,6,1,3,27,10,1
3540,1,6,2,11,10,10
3541,5,3,5,15,10,2
3542,F,5,21,24,10,7
3543,7,4,23,2,10,1
3544,E,5,20,17,10,23
3545,Z,1,10,13,10,2
3546,J,4,0,9,10,5
3547,1,1,0,27,10,3
3548,2,0,23,19,10,1
3549,6,5,10,24,10,2
3550,N,4,3,9,10,3
3551,6,3,7,1,10,12
3552,Q,5,12,24,10,8
3553,R,1,20,27,10,21
3554,E,1,3,13,10,2
3555,1,0,6,26,10,11
3556,D,2,19,7,10,9
3557,N,6,23,18,10,6
3558,F,5,13,24,10,14
3559,1,4,7,23,10,13
3560,F,6,23,4,10,9
3561,6,5,14,10,10,18
