,line,day_of_week,hour,day,month,count
6026,7,1,19,12,1,2
6027,A,3,14,7,1,4
6028,E,5,10,30,1,12
6029,5,6,14,17,1,2
6030,C,6,8,3,1,4
6031,L,0,22,18,1,2
6032,7,5,17,30,1,1
6033,1,1,7,19,1,19
6034,E,4,14,22,1,14
6035,F,3,10,21,1,15
6036,7,0,20,4,1,2
6037,N,2,21,13,1,14
6038,Q,1,8,5,1,4
6039,D,3,14,7,1,11
6040,Z,4,10,22,1,1
6041,4,1,9,26,1,2
6042,Z,6,3,3,1,1
6043,N,1,0,26,1,4
6044,A,4,23,15,1,6
6045,Q,3,19,28,1,6
6046,A,6,11,24,1,6
6047,M,4,9,15,1,6
6048,6,5,3,16,1,1
6049,1,2,15,13,1,13
6050,4,5,9,16,1,2
6051,6,1,9,5,1,8
6052,Q,1,6,12,1,4
6053,F,1,9,26,1,13
6054,A,2,8,6,1,9
6055,D,6,9,3,1,7
6056,Q,4,4,15,1,1
6057,D,4,10,29,1,3
6058,A,4,21,1,1,3
6059,5,6,3,31,1,1
6060,A,2,6,20,1,6
6061,L,5,8,9,1,2
6062,7,1,20,26,1,1
6063,M,1,3,12,1,1
6064,E,0,16,25,1,4
6065,3,4,13,29,1,1
6066,2,1,18,19,1,3
6067,3,0,4,25,1,2
6068,F,4,19,8,1,11
6069,A,1,18,26,1,7
6070,N,4,23,8,1,8
6071,Z,2,21,13,1,1
6072,7,6,23,17,1,1
6073,E,6,3,10,1,8
6074,E,1,13,26,1,6
6075,Z,5,23,2,1,1
6076,A,6,16,24,1,5
6077,F,6,13,31,1,13
6078,F,4,17,22,1,5
6079,7,1,13,5,1,7
6080,C,3,23,14,1,9
6081,M,0,11,4,1,7
6082,7,6,15,10,1,1
6083,1,0,14,11,1,16
6084,Z,2,11,13,1,1
6085,Q,5,18,16,1,10
6086,D,5,3,30,1,4
6087,C,3,15,21,1,13
6088,F,4,2,15,1,6
6089,N,4,0,22,1,10
6090,Q,5,0,16,1,7
6091,1,6,18,24,1,13
6092,6,4,8,15,1,12
6093,4,1,14,5,1,3
6094,J,1,1,12,1,4
6095,N,4,12,1,1,17
6096,N,6,17,24,1,10
6097,2,0,7,25,1,3
6098,6,2,2,6,1,1
6099,N,2,0,13,1,4
6100,F,1,15,5,1,9
6101,5,3,9,7,1,2
6102,E,3,17,21,1,6
6103,A,0,20,11,1,8
6104,F,0,5,4,1,2
6105,5,3,8,14,1,1
6106,N,3,18,28,1,9
6107,1,4,5,8,1,2
6108,5,6,7,3,1,1
6109,R,4,17,1,1,19
6110,1,4,2,1,1,14
6111,5,3,20,21,1,1
6112,Q,2,12,13,1,5
6113,R,5,12,30,1,20
6114,C,6,9,10,1,47
6115,E,6,13,31,1,16
6116,1,0,12,11,1,6
6117,M,6,1,31,1,12
6118,2,1,5,19,1,3
6119,Q,2,0,6,1,5
6120,6,3,13,28,1,10
6121,R,5,6,16,1,2
6122,2,0,19,18,1,3
6123,1,2,7,20,1,7
6124,4,2,13,13,1,1
6125,5,1,17,5,1,2
6126,6,0,7,4,1,5
6127,F,0,15,18,1,8
6128,C,4,15,22,1,17
6129,N,3,12,14,1,10
6130,C,2,7,6,1,4
6131,M,5,17,9,1,13
6132,7,0,9,25,1,2
6133,4,4,11,22,1,2
6134,3,6,17,31,1,2
6135,1,5,4,16,1,3
6136,F,1,20,12,1,10
6137,F,0,7,25,1,2
6138,1,1,22,5,1,10
6139,J,4,0,22,1,1
6140,Q,1,0,12,1,4
6141,1,2,10,20,1,4
6142,F,6,8,10,1,1
6143,J,5,8,30,1,1
6144,J,5,6,23,1,1
6145,D,4,16,29,1,5
6146,L,0,13,11,1,2
6147,A,1,4,5,1,4
6148,D,4,6,8,1,3
6149,E,3,22,14,1,13
6150,G,3,2,28,1,1
6151,F,0,16,4,1,18
6152,6,6,2,10,1,7
6153,5,1,19,19,1,1
6154,4,6,17,10,1,2
6155,C,1,22,5,1,11
6156,6,5,12,16,1,17
6157,1,3,1,21,1,4
6158,1,2,8,13,1,13
6159,2,3,12,14,1,6
6160,1,3,22,7,1,14
6161,E,2,18,13,1,14
6162,R,4,3,15,1,2
6163,L,1,6,19,1,2
6164,M,0,19,25,1,9
6165,1,2,12,6,1,15
6166,6,5,9,16,1,4
6167,R,3,3,21,1,1
6168,E,1,23,5,1,2
6169,F,6,7,10,1,4
6170,3,4,19,1,1,3
6171,A,2,19,6,1,7
6172,3,2,8,13,1,1
6173,F,5,22,9,1,7
6174,L,5,17,2,1,1
6175,2,6,9,31,1,5
6176,Q,6,16,3,1,11
6177,A,1,7,26,1,3
6178,2,2,23,6,1,2
6179,E,4,12,29,1,9
6180,Q,1,4,26,1,1
6181,C,4,7,29,1,11
6182,E,3,8,7,1,2
6183,1,1,22,26,1,17
6184,J,2,23,27,1,1
6185,D,5,11,16,1,9
6186,L,4,10,8,1,5
6187,C,4,10,8,1,14
6188,F,1,0,19,1,4
6189,GS,5,1,23,1,1
6190,R,3,17,28,1,7
6191,1,6,17,31,1,11
6192,L,3,21,7,1,2
6193,7,1,17,19,1,1
6194,C,1,13,12,1,7
6195,Q,3,10,14,1,7
6196,N,2,6,13,1,8
6197,6,1,5,12,1,3
6198,N,0,7,11,1,5
6199,1,6,23,24,1,4
6200,F,3,16,28,1,6
6201,E,6,6,3,1,5
6202,6,4,5,1,1,1
6203,5,6,17,31,1,1
6204,4,6,12,10,1,2
6205,A,4,18,22,1,10
6206,A,4,8,15,1,9
6207,4,0,18,11,1,1
6208,F,1,14,19,1,7
6209,E,4,0,8,1,12
6210,2,3,6,21,1,1
6211,A,6,8,10,1,5
6212,D,5,21,2,1,10
6213,3,4,12,8,1,1
6214,6,1,7,26,1,10
6215,C,4,17,1,1,18
6216,3,4,8,22,1,5
6217,7,5,11,23,1,1
6218,6,5,18,16,1,17
6219,M,6,6,31,1,3
6220,F,5,10,2,1,9
6221,1,0,11,18,1,11
6222,L,5,23,9,1,1
6223,C,2,22,13,1,11
6224,R,4,2,22,1,6
6225,N,4,6,1,1,4
6226,A,0,0,25,1,7
6227,L,0,18,25,1,3
6228,1,4,17,22,1,17
6229,E,2,1,6,1,7
6230,R,3,13,28,1,11
6231,N,4,9,8,1,7
6232,C,3,19,28,1,17
6233,L,5,21,30,1,5
6234,E,4,17,15,1,9
6235,F,1,5,5,1,3
6236,C,6,16,31,1,11
6237,C,5,10,30,1,13
6238,1,1,16,5,1,11
6239,3,4,0,15,1,1
6240,M,5,18,9,1,15
6241,1,0,6,11,1,9
6242,F,3,22,14,1,11
6243,D,4,9,15,1,8
6244,Q,2,6,13,1,7
6245,C,5,6,9,1,4
6246,D,2,9,6,1,7
6247,5,1,8,19,1,3
6248,GS,6,11,10,1,1
6249,4,5,5,30,1,1
6250,F,3,5,28,1,5
6251,D,2,7,20,1,1
6252,2,6,17,17,1,1
6253,A,1,9,12,1,10
6254,6,4,23,8,1,12
6255,L,0,5,11,1,2
6256,R,4,13,8,1,8
6257,6,6,15,3,1,24
6258,M,3,10,14,1,10
6259,3,6,0,10,1,2
6260,1,0,19,4,1,13
6261,C,5,23,30,1,18
6262,4,2,7,13,1,1
6263,1,3,15,21,1,11
6264,4,4,5,29,1,1
6265,J,5,10,30,1,2
6266,N,1,9,26,1,7
6267,5,0,21,11,1,1
6268,J,6,10,17,1,1
6269,N,1,10,19,1,5
6270,E,2,7,27,1,9
6271,N,6,13,31,1,8
6272,3,0,9,25,1,1
6273,3,1,22,12,1,5
6274,Q,6,5,3,1,2
6275,3,0,19,4,1,4
6276,E,1,9,5,1,3
6277,GS,4,15,8,1,1
6278,6,6,23,24,1,4
6279,6,2,12,27,1,11
6280,3,2,14,13,1,2
6281,F,1,7,19,1,5
6282,Q,6,20,3,1,3
6283,2,5,0,23,1,1
6284,A,6,13,3,1,10
6285,R,4,1,15,1,2
6286,M,3,2,21,1,1
6287,Q,1,17,26,1,3
6288,1,0,19,11,1,19
6289,Q,0,16,4,1,13
6290,R,1,6,26,1,5
6291,C,1,7,19,1,12
6292,E,5,12,23,1,4
6293,A,2,2,20,1,3
6294,A,0,3,25,1,3
6295,1,1,19,19,1,16
6296,S,6,22,10,1,1
6297,Q,1,10,26,1,7
6298,6,4,21,15,1,10
6299,4,5,9,9,1,1
6300,A,1,14,26,1,10
6301,A,3,8,28,1,6
6302,C,0,8,25,1,6
6303,Q,6,20,10,1,5
6304,1,2,2,13,1,5
6305,A,4,6,8,1,7
6306,M,4,16,29,1,8
6307,L,5,6,30,1,1
6308,Z,2,20,6,1,2
6309,GS,1,6,5,1,2
6310,6,3,20,7,1,11
6311,6,1,13,12,1,9
6312,J,6,12,31,1,1
6313,F,4,15,15,1,16
6314,5,5,0,23,1,3
6315,D,4,17,8,1,4
6316,L,4,4,1,1,5
6317,A,1,23,5,1,3
6318,2,2,17,13,1,3
6319,1,4,5,15,1,4
6320,2,3,8,21,1,3
6321,D,0,0,25,1,3
6322,Q,3,12,14,1,7
6323,6,4,6,1,1,3
6324,N,5,16,9,1,12
6325,GS,4,20,1,1,1
6326,D,3,0,28,1,2
